location,star,name,competitors,counts
北京,4,桔子水晶北京西站南广场酒店,"桔子酒店(北京三里屯太古里店),汉庭酒店(北京良乡大学城店)","7,1"
北京,2,7天优品酒店(北京西单灵境胡同地铁站店),"如家酒店(北京传媒大学西门店),维也纳3好酒店(北京昌平沙河地铁站店),7天酒店(北京西站南广场店)","4,1,1"
北京,2,北京国帅宾馆,,
北京,3,和颐至尚酒店(北京三里屯使馆区店),"和颐酒店(北京石景山万达广场店),如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),桔子酒店(北京三里屯太古里店),7天连锁酒店(北京西站北广场店),锦江之星(北京珠市口店),全季酒店(北京八一电影制片厂店)","5,3,3,2,1,1,1"
北京,4,和颐酒店(北京天坛店),"如家酒店(北京传媒大学西门店),速8酒店(北京方庄地铁站店),如家精选酒店(北京农展长虹桥店),7天连锁酒店(北京西站北广场店)","15,2,1,1"
北京,5,北京饭店,"如家酒店(北京传媒大学西门店),北京石景山游乐园希尔顿欢朋酒店,北京饭店诺金,7天连锁酒店(北京西站北广场店),漫心北京天安门王府井酒店,维也纳3好酒店(北京昌平沙河地铁站店),全季酒店(北京八一电影制片厂店),IU酒店(北京丽泽商务区七里庄地铁站店),格雅酒店(北京通州环球梨园店),汉庭酒店(北京良乡大学城店)","4,2,2,1,1,1,1,1,1,1"
北京,3,波菲特怀旧主题酒店(北京南锣鼓巷店),锦江之星(北京珠市口店),1
北京,5,北京伯豪瑞廷酒店,"秋果酒店(北京新国展首都机场店),北京南站亚朵酒店,汉庭酒店(北京良乡大学城店)","1,1,1"
北京,2,如家华驿酒店(北京蓟门桥首体店),,
北京,4,北京外国专家大厦,"汉庭酒店(北京良乡大学城店),桔子酒店(北京三里屯太古里店),全季酒店(北京八一电影制片厂店),和颐酒店(北京石景山万达广场店),如家酒店(北京传媒大学西门店),维也纳3好酒店(北京昌平沙河地铁站店),维也纳酒店(北京昌平科技园店)","2,2,1,1,1,1,1"
北京,2,阳光之佳别墅(北京古北店),,
北京,3,北京陶然花园酒店,"如家酒店(北京传媒大学西门店),7天连锁酒店(北京西站北广场店),汉庭酒店(北京良乡大学城店)","1,1,1"
北京,4,北京金龙建国温泉酒店,7天连锁酒店(北京西站北广场店),1
北京,3,北京蜜糖时光酒店,"时光漫步怀旧主题酒店(北京天安门广场店),秋果酒店(北京新国展首都机场店)","4,1"
北京,3,云川酒店(北京国贸店),"7天连锁酒店(北京西站北广场店),7天酒店(北京西站南广场店),如家酒店(北京传媒大学西门店),希岸酒店(北京昌平地铁站鼓楼南大街店),北京瑰丽酒店","8,3,2,1,1"
北京,5,北京通州北投希尔顿酒店,"锦江之星品尚(北京苹果园地铁站店),北京瑰丽酒店","1,1"
